id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,2025-239276,2025-01-03,000001,Vente,160000,142,Unnamed: 6,RUE LAREVELLIERE,4650,49100,49007,Angers,49,Unnamed: 13,Unnamed: 14,49007000CI0009,Unnamed: 16,Unnamed: 17,60,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,1,3,Dépendance,Unnamed: 31,0,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,-0.52765,47.471092,annee,mois,prix_m2,type_encode
2024-586653,2024-01-04,1.0,Vente,259000.0,24.0,,RUE DES DEUX CROIX,3377,49510.0,49023.0,Beaupréau-en-Mauges,49.0,,,490232430A0961,,,,,,,,,,,,,0.0,1.0,Maison,107.0,5.0,S,sols,,,701.0,-0.899307,47.223613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2420.5607476635514,1
2024-586654,2024-01-04,1.0,Vente,90000.0,9.0,,RUE JULES DAUBAN,4440,49100.0,49007.0,Angers,49.0,,,49007000DK0440,,,104.0,,107.0,,,,,,,,2.0,2.0,Appartement,18.0,1.0,,,,,,-0.557618,47.465588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,5000.0,0
2024-586657,2024-01-05,1.0,Vente,50000.0,24.0,,AV DE L EUROPE,1666,49300.0,49099.0,Cholet,49.0,,,49099000BW0433,,,154.0,,93.0,,,,,,,,2.0,2.0,Appartement,48.0,3.0,,,,,,-0.886733,47.0489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1041.6666666666667,0
2024-586658,2024-01-05,1.0,Vente,460000.0,42.0,,RUE PIERRE TIMBAUD,0840,49800.0,49353.0,Trélazé,49.0,,,49353000AV1236,,,,,,,,,,,,,0.0,1.0,Maison,171.0,4.0,S,sols,,,294.0,-0.473764,47.44568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2690.058479532164,1
2024-586659,2024-01-02,1.0,Vente,200000.0,37.0,,RUE DU CHANOINE DUBILLOT,1046,49300.0,49099.0,Cholet,49.0,,,49099000BY0221,,,,,,,,,,,,,0.0,1.0,Maison,105.0,4.0,S,sols,,,296.0,-0.890264,47.053248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1904.7619047619048,1
2024-586660,2024-01-03,1.0,Vente,190000.0,15.0,,RUE DU SCHISTE BLEU,1615,49500.0,49331.0,Segré-en-Anjou Bleu,49.0,,,493311580B1494,,,,,,,,,,,,,0.0,1.0,Maison,105.0,5.0,S,sols,,,645.0,-0.8839,47.744247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1809.5238095238096,1
2024-586662,2024-01-05,1.0,Vente,380000.0,8.0,,RUE DES AUBEPINES,0037,49610.0,49222.0,Mozé-sur-Louet,49.0,,,49222000ZK0084,,,,,,,,,,,,,0.0,1.0,Maison,157.0,6.0,S,sols,,,460.0,-0.558507,47.360378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2420.3821656050955,1
2024-586663,2024-01-03,1.0,Vente,350000.0,66.0,,DOMAINE DES ECOTS,0028,49070.0,49294.0,Saint-Lambert-la-Potherie,49.0,,,492940000B0795,,,,,,,,,,,,,0.0,1.0,Maison,140.0,6.0,AG,terrains d'agrément,,,1190.0,-0.686492,47.473206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2500.0,1
2024-586664,2024-01-04,1.0,Vente,150000.0,7.0,,IMP DES VIGNASSIEUX,0248,49140.0,49377.0,Rives-du-Loir-en-Anjou,49.0,,,49377337AB0112,,,,,,,,,,,,,0.0,1.0,Maison,50.0,3.0,S,sols,,,505.0,-0.451379,47.575345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,3000.0,1
2024-586665,2024-01-09,1.0,Vente,165000.0,8.0,,RUE SAINT JOSEPH (VILLEDIEU),3448,49450.0,49023.0,Beaupréau-en-Mauges,49.0,,,49023375AD0617,,,3.0,111.54,,,,,,,,,1.0,1.0,Maison,104.0,6.0,S,sols,,,600.0,-1.067449,47.148369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,1586.5384615384614,1
